Species,Country,Region,Extinction
paradisaea,Ireland,Europe,[2007]
paradisaea,Germany,Europe,Null
paradisaea,Netherlands,Europe,[2031]
paradisaea,Norway,Europe,Null
paradisaea,Russian Federation,Asia,[1996]
paradisaea,Germany,Europe,[1996]
paradisaea,Russian Federation,Asia,[2012]
paradisaea,United Kingdom,Europe,[1996]
sandvicensis,Denmark,Europe,[1996]
sandvicensis,France,Europe,[2032]
sandvicensis,Germany,Europe,Null
sandvicensis,Ireland,Europe,[2027]
sandvicensis,Germany,Europe,[2013]
sandvicensis,Netherlands,Europe,[2003]
sandvicensis,Germany,Europe,Null
sandvicensis,United Kingdom,Europe,[2009]
capensis,South Africa,Africa,[2006]
tadorna,Denmark,Europe,Null
tadorna,Turkey,Asia,[2035]
tadorna,Germany,Europe,Null
tadorna,Finland,Europe,Null
tadorna,Germany,Europe,[1997]
tadorna,Germany,Europe,[1997]
tadorna,United Kingdom,Europe,[1997]
tadorna,Germany,Europe,[1997]
tadorna,Denmark,Europe,Null
tadorna,Spain,Europe,[1997]
totanus,Germany,Europe,[1997]
totanus,Germany,Europe,[1997]
totanus,Denmark,Europe,[1982]
totanus,Germany,Europe,[1982]
aalge,Svalbard And Jan Mayen,Europe,[2014]
aalge,Germany,Europe,[2028]
aalge,Norway,Europe,[2029]
aalge,Norway,Europe,[2023]
aalge,Ireland,Europe,Null
aalge,Russian Federation,Asia,Null
aalge,United Kingdom,Europe,Null
aalge,Norway,Europe,[1984]
aalge,United Kingdom,Europe,[2007]
aalge,United Kingdom,Europe,[2049]
aalge,United Kingdom,Europe,Null
aalge,Finland,Europe,[2022]
aalge,United Kingdom,Europe,[2043]
aalge,United Kingdom,Europe,[2005]
aalge,Norway,Europe,Null
aalge,United Kingdom,Europe,[2021]
aalge,Norway,Europe,Null
aalge,United Kingdom,Europe,[2023]
aalge,Norway,Europe,Null
aalge,United Kingdom,Europe,Null
lomvia,Russian Federation,Asia,[2022]
lomvia,Norway,Europe,Null
lomvia,Greenland,Europe,[2025]
lomvia,Russian Federation,Asia,[2005]
lomvia,Svalbard And Jan Mayen,Europe,Null
vanellus,Germany,Europe,Null
vanellus,Germany,Europe,Null
vanellus,Germany,Europe,[2027]
vanellus,Denmark,Europe,Null
nasus,Canada,North America,[2028]
ocellata,Canada,North America,Null
acanthias,Turkey,Asia,[2026]
acanthias,United States,North America,[1971]
pusillus,South Africa,Africa,[2021]
pusillus,South Africa,Africa,Null
acutorostrata,Iceland,Europe,Null
acutorostrata,Iceland,Europe,[2028]
borealis,Iceland,Europe,[2024]
musculus,Iceland,Europe,[2000]
physalus,Greenland,Europe,[2000]
physalus,Iceland,Europe,[1992]
physalus,Iceland,Europe,[1991]
physalus,Canada,North America,[2038]
physalus,Canada,North America,[2022]
leucas,Canada,North America,Null
melas,Iceland,Europe,[2064]
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,[2062]
grypus,United Kingdom,Europe,[1977]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2033]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2032]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2032]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2006]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2025]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2023]
grypus,United Kingdom,Europe,[2025]
grypus,United Kingdom,Europe,[2026]
grypus,United Kingdom,Europe,[2026]
grypus,United Kingdom,Europe,[2023]
grypus,United Kingdom,Europe,[2023]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2076]
grypus,United Kingdom,Europe,[2024]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2049]
grypus,United Kingdom,Europe,[2021]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2035]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,[2031]
grypus,United Kingdom,Europe,[2032]
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
grypus,United Kingdom,Europe,Null
ampullatus,Iceland,Europe,[2033]
novaeangliae,Bermuda,Latin America and Caribbean,[2028]
novaeangliae,Iceland,Europe,[2025]
monachus,Greece,Europe,Null
monachus,Western Sahara,Africa,Null
orca,Iceland,Europe,Null
groenlandicus,Canada,North America,Null
phocoena,Iceland,Europe,Null
catodon,Iceland,Europe,Null
crassidens,Mexico,Latin America and Caribbean,Null
caretta,Turkey,Asia,[2033]
caretta,United States,North America,Null
mydas,Costa Rica,Latin America and Caribbean,[2024]
caretta,Cayman Islands,Latin America and Caribbean,Null
mydas,Cayman Islands,Latin America and Caribbean,Null
mydas,Suriname,Latin America and Caribbean,Null
mydas,Turkey,Asia,Null
mydas,Turkey,Asia,[2030]
mydas,United States,North America,Null
mydas,Turkey,Asia,[2028]
mydas,Costa Rica,Latin America and Caribbean,Null
coriacea,Suriname,Latin America and Caribbean,[2026]
coriacea,Costa Rica,Latin America and Caribbean,Null
coriacea,Suriname,Latin America and Caribbean,[2022]
coriacea,"Virgin Islands, U.S.",Latin America and Caribbean,[2030]
imbricata,"Virgin Islands, U.S.",Latin America and Caribbean,Null
imbricata,Antigua And Barbuda,Latin America and Caribbean,[2023]
imbricata,Mexico,Latin America and Caribbean,[2032]
imbricata,Puerto Rico,Latin America and Caribbean,[2034]
imbricata,Suriname,Latin America and Caribbean,Null
kempii,Mexico,Latin America and Caribbean,[2032]
kempii,Mexico,Latin America and Caribbean,[2028]
olivacea,Suriname,Latin America and Caribbean,Null
fimbria,United States,North America,Null
fimbria,United States,North America,Null
fimbria,United States,North America,Null
stomias,United States,North America,Null
pallasii,Canada,North America,Null
pallasii,United States,North America,Null
pallasii,United States,North America,[2034]
pallasii,Canada,North America,[2118]
pallasii,Canada,North America,Null
pallasii,Canada,North America,Null
pallasii,Canada,North America,Null
pallasii,Canada,North America,Null
pallasii,Canada,North America,Null
pallasii,United States,North America,[2028]
pallasii,United States,North America,[2056]
pallasii,United States,North America,[2023]
pallasii,Canada,North America,Null
pallasii,Canada,North America,[2040]
pallasii,International Waters,International Waters,[2039]
mordax,United States,North America,[2032]
ringens,Peru,Latin America and Caribbean,Null
macrocephalus,United States,North America,Null
macrocephalus,United States,North America,[2028]
macrocephalus,Canada,North America,[2043]
elassodon,United States,North America,Null
stenolepis,International Waters,International Waters,Null
bilineata,United States,North America,Null
aspera,United States,North America,[2025]
aspera,United States,North America,[2030]
aspera,Russian Federation,Asia,[2032]
limanda,Denmark,Europe,[2053]
proboscidea,Russian Federation,Asia,[2029]
sakhalinensis,Russian Federation,Asia,Null
gayi,Chile,Latin America and Caribbean,Null
gayi,Chile,Latin America and Caribbean,[2029]
gayi,Peru,Latin America and Caribbean,Null
productus,International Waters,International Waters,[2030]
auratus,New Zealand,Oceania,Null
auratus,New Zealand,Oceania,[2065]
vetulus,Canada,North America,Null
monopterygius,United States,North America,[2028]
quadrituberculatus,Russian Federation,Asia,Null
chalcogrammus,United States,North America,[2053]
wheeleri,United States,North America,[2041]
hippoglossoides,United States,North America,Null
hippoglossoides,United States,North America,Null
hippoglossoides,United States,North America,Null
sagax,United States,North America,[2029]
sagax,Chile,Latin America and Caribbean,Null
sagax,United States,North America,[2030]
sagax,Japan,Asia,[2026]
sagax,Japan,Asia,Null
japonicus,Japan,Asia,Null
japonicus,United States,North America,Null
alutus,United States,North America,[2033]
alutus,United States,North America,[2070]
alutus,Canada,North America,Null
alutus,United States,North America,[2022]
alutus,United States,North America,[2032]
entomelas,Canada,North America,Null
alascanus,United States,North America,[2023]
alascanus,United States,North America,Null
pacificus,Canada,North America,Null
chalcogrammus,United States,North America,[2028]
chalcogrammus,United States,North America,Null
chalcogrammus,Russian Federation,Asia,Null
chalcogrammus,United States,North America,[2086]
chalcogrammus,Japan,Asia,[2033]
chalcogrammus,Russian Federation,Asia,[2035]
albacares,International Waters,International Waters,[2026]
albacares,International Waters,International Waters,Null
murphyi,International Waters,International Waters,[2044]
columba,United States,North America,[2047]
columba,United States,North America,Null
grylle,United States,North America,Null
monocerata,United States,North America,Null
monocerata,United States,North America,[2075]
albatrus,Japan,Asia,[2048]
immutabilis,United States Minor Outlying Islands,Oceania,[2034]
irrorata,Ecuador,Latin America and Caribbean,[2056]
cirrhata,United States,North America,[2027]
cirrhata,United States,North America,Null
glacialis,United States,North America,[2018]
glacialis,United States,North America,[1993]
glaucescens,United States,North America,Null
occidentalis,United States,North America,Null
occidentalis,United States,North America,Null
furcatus,United States,North America,Null
homochroa,United States,North America,Null
leucorhous,United States,North America,Null
leucorhous,United States,North America,Null
melania,United States,North America,Null
occidentalis,United States,North America,Null
occidentalis,United States,North America,[2010]
auritus,United States,North America,Null
auritus,United States,North America,Null
auritus,United States,North America,[2027]
auritus,United States,North America,[2021]
pelagicus,United States,North America,[2024]
pelagicus,United States,North America,[2023]
pelagicus,United States,North America,Null
penicillatus,United States,North America,[2039]
penicillatus,United States,North America,Null
penicillatus,United States,North America,[2059]
stelleri,Russian Federation,Asia,[2023]
aleuticus,United States,North America,[2022]
aleuticus,United States,North America,Null
brevirostris,United States,North America,Null
brevirostris,United States,North America,[2033]
brevirostris,United States,North America,Null
tridactyla,United States,North America,Null
tridactyla,United States,North America,Null
tridactyla,United States,North America,Null
tridactyla,United States,North America,Null
tridactyla,United States,North America,Null
tridactyla,United States,North America,Null
niger,United States,North America,Null
humboldti,Peru,Latin America and Caribbean,[2037]
humboldti,Peru,Latin America and Caribbean,[2033]
mendiculus,Ecuador,Latin America and Caribbean,[2035]
albifrons,Australia,Oceania,Null
antillarum,United States,North America,[2027]
caspia,United States,North America,Null
elegans,United States,North America,Null
forsteri,United States,North America,[1986]
striata,Australia,Oceania,[2022]
hypoleucus,United States,North America,[2023]
alalunga,International Waters,International Waters,[2021]
maccoyii,International Waters,International Waters,[2033]
maccoyii,International Waters,International Waters,[2023]
aalge,United States,North America,Null
aalge,United States,North America,[2040]
aalge,United States,North America,Null
aalge,United States,North America,Null
aalge,United States,North America,[2044]
aalge,United States,North America,Null
lomvia,United States,North America,Null
lomvia,United States,North America,[2052]
lomvia,United States,North America,Null
australis,Peru,Latin America and Caribbean,[2094]
forsteri,New Zealand,Oceania,[2032]
philippii,Chile,Latin America and Caribbean,Null
townsendi,Mexico,Latin America and Caribbean,[2052]
townsendi,Mexico,Latin America and Caribbean,Null
mysticetus,United States,North America,Null
mysticetus,United States,North America,[2024]
mysticetus,United States,North America,[2039]
edeni,United States,North America,[2039]
ursinus,United States,North America,Null
leucas,United States,North America,Null
leucas,United States,North America,Null
leucas,United States,North America,Null
dugon,Australia,Oceania,Null
lutris,United States,North America,[2034]
lutris,Russian Federation,Asia,Null
lutris,United States,North America,[2034]
lutris,United States,North America,[2041]
robustus,United States,North America,[2010]
robustus,United States,North America,[2054]
jubatus,Canada,North America,[2040]
jubatus,United States,North America,Null
jubatus,United States,North America,[2039]
jubatus,United States,North America,[2040]
jubatus,United States,North America,[2038]
jubatus,United States,North America,[2042]
jubatus,United States,North America,Null
jubatus,United States,North America,Null
jubatus,United States,North America,[1999]
jubatus,Russian Federation,Asia,Null
jubatus,United States,North America,[2040]
novaeangliae,International Waters,International Waters,[1999]
angustirostris,United States,North America,Null
schauinslandi,United States,North America,[1999]
schauinslandi,United States,North America,Null
schauinslandi,United States,North America,[2030]
rosmarus,United States,North America,Null
rosmarus,United States,North America,[2029]
rosmarus,United States,North America,Null
orca,United States,North America,[1999]
vitulina,United States,North America,[2032]
vitulina,United States,North America,Null
vitulina,United States,North America,Null
vitulina,United States,North America,Null
vitulina,United States,North America,[2022]
vitulina,United States,North America,Null
vitulina,United States,North America,[2026]
hookeri,New Zealand,Oceania,[2025]
sinus,Mexico,Latin America and Caribbean,[2012]
attenuata,Costa Rica,Latin America and Caribbean,[2034]
longirostris,International Waters,International Waters,Null
maritimus,United States,North America,Null
maritimus,United States,North America,Null
californianus,United States,North America,[2001]
cristatus,Ecuador,Latin America and Caribbean,[2036]
caretta,Australia,Oceania,[2025]
caretta,Australia,Oceania,[2110]
mydas,United States,North America,[2016]
mydas,Mexico,Latin America and Caribbean,[2025]
mydas,Australia,Oceania,[2024]
coriacea,Mexico,Latin America and Caribbean,Null
olivacea,Mexico,Latin America and Caribbean,Null
dussumieri,India,Asia,[2045]
nehereus,India,Asia,[2032]
cephalus,"Taiwan, Province Of China",Asia,Null
albacares,International Waters,International Waters,Null
chalumnae,Comoros,Africa,[1999]
abbotti,Christmas Island,Oceania,[2012]
abbotti,Christmas Island,Oceania,[2047]
dugon,United Arab Emirates,Asia,Null
chinensis,United Arab Emirates,Asia,[2030]
aduncus,United Arab Emirates,Asia,Null
mydas,Seychelles,Africa,Null
mydas,Seychelles,Africa,[2025]
mydas,Pakistan,Asia,Null
mydas,Malaysia,Asia,[2034]
mydas,Malaysia,Asia,[2012]
mydas,Malaysia,Asia,[2002]
mydas,French Southern Territories,Antarctic,Null
coriacea,Malaysia,Asia,[2027]
imbricata,Malaysia,Asia,[2038]
imbricata,Malaysia,Asia,Null
olivacea,Pakistan,Asia,Null
olivacea,Malaysia,Asia,[2028]
gunnari,South Georgia And The South Sandwich Islands,Antarctic,[2026]
gunnari,Antarctica,Antarctic,[2027]
gibberifrons,South Georgia And The South Sandwich Islands,Antarctic,[2024]
squamifrons,French Southern Territories,Antarctic,[2027]
australis,New Zealand,Oceania,Null
rossii,South Georgia And The South Sandwich Islands,Antarctic,Null
rossii,French Southern Territories,Antarctic,Null
rossii,Antarctica,Antarctic,Null
guntheri,South Georgia And The South Sandwich Islands,Antarctic,Null
georgianus,South Georgia And The South Sandwich Islands,Antarctic,[2026]
forsteri,French Southern Territories,Antarctic,Null
patagonicus,French Southern Territories,Antarctic,Null
patagonicus,French Southern Territories,Antarctic,[2026]
patagonicus,French Southern Territories,Antarctic,[2011]
patagonicus,French Southern Territories,Antarctic,Null
patagonicus,French Southern Territories,Antarctic,[2011]
patagonicus,French Southern Territories,Antarctic,[2011]
patagonicus,Heard Island And McDonald Islands,Antarctic,[2011]
patagonicus,Australia,Oceania,Null
patagonicus,Heard Island And McDonald Islands,Antarctic,[2012]
maccormicki,Antarctica,Antarctic,[2033]
minor,South Africa,Africa,Null
minor,South Africa,Africa,[2016]
amsterdamensis,French Southern Territories,Antarctic,Null
cauta,Australia,Oceania,[2001]
chrysostoma,South Georgia And The South Sandwich Islands,Antarctic,[2012]
exulans,French Southern Territories,Antarctic,[2012]
exulans,South Georgia And The South Sandwich Islands,Antarctic,[2019]
exulans,French Southern Territories,Antarctic,[2046]
exulans,French Southern Territories,Antarctic,[2032]
exulans,French Southern Territories,Antarctic,Null
exulans,French Southern Territories,Antarctic,Null
melanophris,South Georgia And The South Sandwich Islands,Antarctic,[2012]
giganteus,South Georgia And The South Sandwich Islands,Antarctic,Null
halli,South Georgia And The South Sandwich Islands,Antarctic,[2043]
antipodes,New Zealand,Oceania,[2049]
adeliae,Antarctica,Antarctic,[2000]
adeliae,Antarctica,Antarctic,Null
adeliae,Antarctica,Antarctic,Null
adeliae,Antarctica,Antarctic,[2032]
adeliae,Antarctica,Antarctic,[2009]
adeliae,Antarctica,Antarctic,[2030]
adeliae,Antarctica,Antarctic,[2028]
adeliae,Antarctica,Antarctic,[2037]
adeliae,Antarctica,Antarctic,[2023]
adeliae,Antarctica,Antarctic,Null
adeliae,Antarctica,Antarctic,Null
adeliae,Antarctica,Antarctic,Null
adeliae,Antarctica,Antarctic,[2032]
papua,Falkland Islands (Malvinas),Latin America and Caribbean,[2024]
melanophris,Heard Island And McDonald Islands,Antarctic,Null
melanophris,Heard Island And McDonald Islands,Antarctic,[1979]
melanophris,Heard Island And McDonald Islands,Antarctic,[2005]
melanophris,Heard Island And McDonald Islands,Antarctic,[2022]
gazella,South Georgia And The South Sandwich Islands,Antarctic,[2023]
gazella,South Georgia And The South Sandwich Islands,Antarctic,Null
gazella,Antarctica,Antarctic,[2033]
leonina,South Georgia And The South Sandwich Islands,Antarctic,Null
flavescens,Falkland Islands (Malvinas),Latin America and Caribbean,[2028]
encrasicolus,France,Europe,[2030]
villosus,Russian Federation,Asia,[1991]
aeglefinus,Iceland,Europe,Null
merlangus,United Kingdom,Europe,[2022]
harengus,United Kingdom,Europe,[2036]
sagax,South Africa,Africa,[2023]
salar,Norway,Europe,[2022]
salar,Norway,Europe,[2021]
salar,Norway,Europe,Null
salar,Norway,Europe,[2025]
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,[2011]
salar,Norway,Europe,[2022]
trutta,Norway,Europe,[2029]
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2002]
trutta,Norway,Europe,[2002]
trutta,Norway,Europe,[2021]
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2029]
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2038]
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2046]
trutta,Norway,Europe,[2027]
trutta,Norway,Europe,[2027]
trutta,Norway,Europe,[2029]
trutta,Norway,Europe,[2012]
trutta,Norway,Europe,[2035]
alpinus,Norway,Europe,[2029]
lagopus,Norway,Europe,[2032]
lagopus,Svalbard And Jan Mayen,Europe,[2036]
lupus,Norway,Europe,Null
timidus,Norway,Europe,[1972]
lynx,Norway,Europe,Null
tarandus,Norway,Europe,[2022]
tarandus,Norway,Europe,Null
tarandus,Norway,Europe,Null
arctos,Norway,Europe,[2047]
acutorostrata,Norway,Europe,Null
grypus,Norway,Europe,[2046]
groenlandicus,Norway,Europe,Null
unifilis,Ecuador,Latin America and Caribbean,Null
unifilis,Ecuador,Latin America and Caribbean,Null
caretta,United States,North America,[2102]
coriacea,United States,North America,Null
limifrons,Panama,Latin America and Caribbean,[2030]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2088]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2056]
limifrons,Panama,Latin America and Caribbean,[2025]
limifrons,Panama,Latin America and Caribbean,[2048]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2030]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2036]
limifrons,Panama,Latin America and Caribbean,[2029]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2058]
limifrons,Panama,Latin America and Caribbean,[2038]
limifrons,Panama,Latin America and Caribbean,[2025]
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,Null
limifrons,Panama,Latin America and Caribbean,[2033]
taurinus,"Tanzania, United Republic Of",Africa,[2025]
taurinus,"Tanzania, United Republic Of",Africa,Null
caffer,"Tanzania, United Republic Of",Africa,[2028]
caffer,"Tanzania, United Republic Of",Africa,[2007]
lota,Norway,Europe,[2007]
lota,Norway,Europe,Null
lota,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,[2036]
salar,Norway,Europe,[2023]
salar,Norway,Europe,[2025]
salar,Norway,Europe,[2025]
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,[2002]
salar,Norway,Europe,[2010]
salar,Norway,Europe,Null
salar,Norway,Europe,[2024]
salar,Norway,Europe,[2031]
salar,Norway,Europe,[2021]
salar,Norway,Europe,[2028]
salar,Norway,Europe,Null
salar,Norway,Europe,[2012]
salar,Norway,Europe,[2030]
salar,Norway,Europe,Null
salar,Norway,Europe,[2001]
salar,Norway,Europe,[2027]
salar,Norway,Europe,Null
salar,Norway,Europe,Null
salar,Norway,Europe,[2005]
salar,Norway,Europe,[2024]
salar,Norway,Europe,Null
salar,Norway,Europe,[1990]
salar,Norway,Europe,Null
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2028]
trutta,Norway,Europe,[2031]
trutta,Norway,Europe,[2030]
trutta,Norway,Europe,[2022]
trutta,Norway,Europe,[2030]
trutta,Norway,Europe,[2023]
trutta,Norway,Europe,[2043]
trutta,Norway,Europe,[2022]
trutta,Norway,Europe,[2023]
trutta,Norway,Europe,[1980]
trutta,Norway,Europe,[2023]
trutta,Norway,Europe,[2017]
trutta,Norway,Europe,[2027]
trutta,Norway,Europe,Null
trutta,Norway,Europe,Null
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2056]
trutta,Norway,Europe,[2054]
trutta,Norway,Europe,[2041]
trutta,Norway,Europe,[2068]
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2010]
trutta,Norway,Europe,[2022]
trutta,Norway,Europe,Null
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2005]
trutta,Norway,Europe,[2023]
trutta,Norway,Europe,[2028]
trutta,Norway,Europe,[2030]
trutta,Norway,Europe,[2032]
trutta,Norway,Europe,[2025]
trutta,Norway,Europe,[2023]
trutta,Norway,Europe,[2028]
trutta,Norway,Europe,[2029]
trutta,Norway,Europe,Null
trutta,Norway,Europe,Null
trutta,Norway,Europe,[2026]
alpinus,Norway,Europe,Null
alpinus,Norway,Europe,Null
alpinus,Norway,Europe,[2031]
hypoleucos,Norway,Europe,Null
hypoleucos,Norway,Europe,[2030]
hypoleucos,Norway,Europe,[2026]
crecca,Norway,Europe,Null
crecca,Norway,Europe,Null
crecca,Norway,Europe,[2053]
penelope,Norway,Europe,Null
penelope,Norway,Europe,[2023]
penelope,Norway,Europe,Null
platyrhynchos,Norway,Europe,[2053]
platyrhynchos,Norway,Europe,Null
platyrhynchos,Norway,Europe,Null
platyrhynchos,Norway,Europe,[2028]
erythropus,Norway,Europe,Null
fabalis,Norway,Europe,[2025]
fuligula,Norway,Europe,[2037]
fuligula,Norway,Europe,Null
fuligula,Norway,Europe,[2021]
clangula,Norway,Europe,Null
clangula,Norway,Europe,Null
clangula,Norway,Europe,Null
alpina,Norway,Europe,Null
alpina,Norway,Europe,[2031]
minuta,Norway,Europe,Null
temminckii,Norway,Europe,[2022]
cinclus,Norway,Europe,[1996]
cygnus,Norway,Europe,Null
cygnus,Norway,Europe,Null
gallinago,Norway,Europe,Null
gallinago,Norway,Europe,Null
arctica,Norway,Europe,Null
nigra,Norway,Europe,[2028]
albellus,Norway,Europe,[2017]
merganser,Norway,Europe,[2068]
merganser,Norway,Europe,[2039]
merganser,Norway,Europe,[2026]
cinerea,Norway,Europe,[2024]
arquata,Norway,Europe,[2021]
pugnax,Norway,Europe,[2025]
pugnax,Norway,Europe,[2062]
pugnax,Norway,Europe,[2021]
riparia,Norway,Europe,[2035]
parasiticus,Norway,Europe,[2003]
paradisaea,Norway,Europe,[2022]
erythropus,Norway,Europe,[2040]
glareola,Norway,Europe,[2026]
glareola,Norway,Europe,[2027]
nebularia,Norway,Europe,[2003]
nebularia,Norway,Europe,[2005]
ochropus,Norway,Europe,[2003]
tobianus,Norway,Europe,[2004]
saida,Norway,Europe,Null
harengus,Norway,Europe,[2024]
harengus,Norway,Europe,Null
morhua,Norway,Europe,[2005]
morhua,Norway,Europe,[2026]
villosus,Norway,Europe,[2028]
aeglefinus,Norway,Europe,[2026]
aeglefinus,Norway,Europe,[2022]
merluccius,Norway,Europe,Null
poutassou,Norway,Europe,Null
virens,Norway,Europe,[2044]
virens,Norway,Europe,[2033]
hippoglossoides,Norway,Europe,[2036]
scombrus,Norway,Europe,[2022]
solea,Norway,Europe,Null
trachurus,Norway,Europe,[2022]
esmarkii,Norway,Europe,[2031]
torda,Norway,Europe,[2033]
torda,Norway,Europe,Null
anser,Norway,Europe,[2009]
anser,Norway,Europe,[2021]
spinoletta,Norway,Europe,[2022]
cinerea,Norway,Europe,[2060]
hiaticula,Norway,Europe,Null
olor,Norway,Europe,[2027]
arctica,Norway,Europe,Null
arctica,Norway,Europe,Null
arctica,Norway,Europe,Null
arctica,Norway,Europe,[2028]
ostralegus,Norway,Europe,Null
ostralegus,Norway,Europe,Null
ostralegus,Norway,Europe,[2026]
ostralegus,Norway,Europe,[2043]
ostralegus,Norway,Europe,[1988]
argentatus,Norway,Europe,[2036]
argentatus,Norway,Europe,[2031]
argentatus,Norway,Europe,[2021]
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,[2028]
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,[2029]
argentatus,Norway,Europe,[2024]
argentatus,Norway,Europe,[2024]
argentatus,Norway,Europe,[2025]
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,[2023]
argentatus,Norway,Europe,[2000]
argentatus,Norway,Europe,[2031]
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,Null
argentatus,Norway,Europe,[2023]
argentatus,Norway,Europe,[2029]
argentatus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,[2020]
canus,Norway,Europe,[2023]
canus,Norway,Europe,[2069]
canus,Norway,Europe,[2043]
canus,Norway,Europe,Null
canus,Norway,Europe,[2003]
canus,Norway,Europe,[2025]
canus,Norway,Europe,[2021]
canus,Norway,Europe,[2019]
canus,Norway,Europe,[1999]
canus,Norway,Europe,[2029]
canus,Norway,Europe,[2000]
canus,Norway,Europe,[2025]
canus,Norway,Europe,[2021]
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,[2026]
canus,Norway,Europe,Null
canus,Norway,Europe,[2009]
canus,Norway,Europe,[2034]
canus,Norway,Europe,[2023]
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,[2033]
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,Null
canus,Norway,Europe,[2021]
canus,Norway,Europe,Null
canus,Norway,Europe,[2017]
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,[2018]
fuscus,Norway,Europe,[1972]
fuscus,Norway,Europe,[2022]
fuscus,Norway,Europe,[2024]
fuscus,Norway,Europe,[2024]
fuscus,Norway,Europe,[2037]
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,[2031]
fuscus,Norway,Europe,[2024]
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,[2021]
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,Null
fuscus,Norway,Europe,[2006]
fuscus,Norway,Europe,[1990]
marinus,Norway,Europe,[1985]
marinus,Norway,Europe,Null
marinus,Norway,Europe,[2029]
marinus,Norway,Europe,[1993]
marinus,Norway,Europe,[2045]
